Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?,Question Key,Response
1,1643112667297,25/01/2022 12:11:07,1643112669464,0,25/01/2022 12:11:09,62188,20,questionnaire-dbtg,,18845274,BLIND,5578336,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
2,1643112673867,25/01/2022 12:11:13,1643112676030,0,25/01/2022 12:11:16,62188,20,questionnaire-dbtg,,18845274,BLIND,5578336,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,6566
1,1642959160958,23/01/2022 17:32:40,1642959161781,0,23/01/2022 17:32:41,62188,20,questionnaire-dbtg,,18782758,BLIND,5558701,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
2,1642959165464,23/01/2022 17:32:45,1642959166318,0,23/01/2022 17:32:46,62188,20,questionnaire-dbtg,,18782758,BLIND,5558701,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,4537
1,1642804028855,21/01/2022 22:27:08,1642804028731,0,21/01/2022 22:27:08,62188,20,questionnaire-dbtg,,18746547,BLIND,5550506,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,157,No,BEGIN QUESTIONNAIRE,
2,1642804052679,21/01/2022 22:27:32,1642804052566,0,21/01/2022 22:27:32,62188,20,questionnaire-dbtg,,18746547,BLIND,5550506,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x821,,Information sheet and consent ,2,157,No,END QUESTIONNAIRE,23835
1,1642797322201,21/01/2022 20:35:22,1642797321990,0,21/01/2022 20:35:21,62188,20,questionnaire-dbtg,,18743689,BLIND,5549866,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,157,No,BEGIN QUESTIONNAIRE,
2,1642797332297,21/01/2022 20:35:32,1642797331874,0,21/01/2022 20:35:31,62188,20,questionnaire-dbtg,,18743689,BLIND,5549866,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x821,,Information sheet and consent ,2,157,No,END QUESTIONNAIRE,9885
1,1642765474758,21/01/2022 11:44:34,1642765474529,0,21/01/2022 11:44:34,62188,20,questionnaire-dbtg,,18719552,BLIND,5540429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x727,,Information sheet and consent ,2,152,No,BEGIN QUESTIONNAIRE,
2,1642765528845,21/01/2022 11:45:28,1642765528251,0,21/01/2022 11:45:28,62188,20,questionnaire-dbtg,,18719552,BLIND,5540429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x727,,Information sheet and consent ,2,152,No,END QUESTIONNAIRE,53722
1,1642699679839,20/01/2022 17:27:59,1642699679815,0,20/01/2022 17:27:59,62188,20,questionnaire-dbtg,,18685926,BLIND,5532853,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x609,,Information sheet and consent ,2,173,No,BEGIN QUESTIONNAIRE,
2,1642699687410,20/01/2022 17:28:07,1642699687403,0,20/01/2022 17:28:07,62188,20,questionnaire-dbtg,,18685926,BLIND,5532853,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x609,,Information sheet and consent ,2,173,No,END QUESTIONNAIRE,7588
1,1642541992679,18/01/2022 21:39:52,1642541992508,0,18/01/2022 21:39:52,62188,20,questionnaire-dbtg,,18624962,BLIND,5512597,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,163,No,BEGIN QUESTIONNAIRE,
2,1642542072914,18/01/2022 21:41:12,1642542072772,0,18/01/2022 21:41:12,62188,20,questionnaire-dbtg,,18624962,BLIND,5512597,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,163,No,END QUESTIONNAIRE,80264
1,1642536398305,18/01/2022 20:06:38,1642536398131,0,18/01/2022 20:06:38,62188,20,questionnaire-dbtg,,18622542,BLIND,5511959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,178,No,BEGIN QUESTIONNAIRE,
2,1642536491917,18/01/2022 20:08:11,1642536491799,0,18/01/2022 20:08:11,62188,20,questionnaire-dbtg,,18622542,BLIND,5511959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,178,No,END QUESTIONNAIRE,93669
1,1642533389868,18/01/2022 19:16:29,1642533389744,0,18/01/2022 19:16:29,62188,20,questionnaire-dbtg,,18618703,BLIND,5511369,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
2,1642533401742,18/01/2022 19:16:41,1642533401645,0,18/01/2022 19:16:41,62188,20,questionnaire-dbtg,,18618703,BLIND,5511369,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,11901
1,1642526092027,18/01/2022 17:14:52,1642526091909,0,18/01/2022 17:14:51,62188,20,questionnaire-dbtg,,18605754,BLIND,5508881,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,183,No,BEGIN QUESTIONNAIRE,
2,1642526108898,18/01/2022 17:15:08,1642526108812,0,18/01/2022 17:15:08,62188,20,questionnaire-dbtg,,18605754,BLIND,5508881,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,183,No,END QUESTIONNAIRE,16903
1,1642516371663,18/01/2022 14:32:51,1642516371524,0,18/01/2022 14:32:51,62188,20,questionnaire-dbtg,,18597270,BLIND,5505997,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,178,No,BEGIN QUESTIONNAIRE,
2,1642516387547,18/01/2022 14:33:07,1642516387435,0,18/01/2022 14:33:07,62188,20,questionnaire-dbtg,,18597270,BLIND,5505997,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,178,No,END QUESTIONNAIRE,15912
1,1642512464287,18/01/2022 13:27:44,1642512464162,0,18/01/2022 13:27:44,62188,20,questionnaire-dbtg,,18593702,BLIND,5504684,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,152,No,BEGIN QUESTIONNAIRE,
2,1642512470896,18/01/2022 13:27:50,1642512470825,0,18/01/2022 13:27:50,62188,20,questionnaire-dbtg,,18593702,BLIND,5504684,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,152,No,END QUESTIONNAIRE,6664
1,1642496769456,18/01/2022 09:06:09,1642496769374,0,18/01/2022 09:06:09,62188,20,questionnaire-dbtg,,18583955,BLIND,5501417,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x609,,Information sheet and consent ,2,152,No,BEGIN QUESTIONNAIRE,
2,1642496784478,18/01/2022 09:06:24,1642496784430,0,18/01/2022 09:06:24,62188,20,questionnaire-dbtg,,18583955,BLIND,5501417,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x609,,Information sheet and consent ,2,152,No,END QUESTIONNAIRE,15056
1,1642454124330,17/01/2022 21:15:24,1642454127277,0,17/01/2022 21:15:27,62188,20,questionnaire-dbtg,,18578434,BLIND,5499730,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,163,No,BEGIN QUESTIONNAIRE,
2,1642454133311,17/01/2022 21:15:33,1642454136325,0,17/01/2022 21:15:36,62188,20,questionnaire-dbtg,,18578434,BLIND,5499730,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,163,No,END QUESTIONNAIRE,9048
1,1642449035543,17/01/2022 19:50:35,1642449038524,0,17/01/2022 19:50:38,62188,20,questionnaire-dbtg,,18576753,BLIND,5499152,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
2,1642449044879,17/01/2022 19:50:44,1642449047908,0,17/01/2022 19:50:47,62188,20,questionnaire-dbtg,,18576753,BLIND,5499152,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,9385
1,1642448009357,17/01/2022 19:33:29,1642448009187,0,17/01/2022 19:33:29,62188,20,questionnaire-dbtg,,18576350,BLIND,5499000,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1440x821,,Information sheet and consent ,2,157,No,BEGIN QUESTIONNAIRE,
2,1642448091613,17/01/2022 19:34:51,1642448091473,0,17/01/2022 19:34:51,62188,20,questionnaire-dbtg,,18576350,BLIND,5499000,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1425x821,,Information sheet and consent ,2,157,No,END QUESTIONNAIRE,82287
1,1642435680477,17/01/2022 16:08:00,1642435683500,0,17/01/2022 16:08:03,62188,20,questionnaire-dbtg,,18569902,BLIND,5496748,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x609,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
2,1642435770832,17/01/2022 16:09:30,1642435773880,0,17/01/2022 16:09:33,62188,20,questionnaire-dbtg,,18569902,BLIND,5496748,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x609,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,90380
1,1641335000437,04/01/2022 22:23:20,1641335000331,0,04/01/2022 22:23:20,62188,20,questionnaire-dbtg,,18291871,BLIND,5418541,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1440x727,,Information sheet and consent ,2,178,No,BEGIN QUESTIONNAIRE,
2,1641335008269,04/01/2022 22:23:28,1641335008185,0,04/01/2022 22:23:28,62188,20,questionnaire-dbtg,,18291871,BLIND,5418541,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1440x727,,Information sheet and consent ,2,178,No,END QUESTIONNAIRE,7854
1,1641138533551,02/01/2022 15:48:53,1641138533039,0,02/01/2022 15:48:53,62188,20,questionnaire-dbtg,,18260742,BLIND,5410422,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1536x864,1536x722,,Information sheet and consent ,2,178,No,BEGIN QUESTIONNAIRE,
2,1641138542097,02/01/2022 15:49:02,1641138541627,0,02/01/2022 15:49:01,62188,20,questionnaire-dbtg,,18260742,BLIND,5410422,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1536x864,1519x722,,Information sheet and consent ,2,178,No,END QUESTIONNAIRE,8589
1,1641129989532,02/01/2022 13:26:29,1641129989037,0,02/01/2022 13:26:29,62188,20,questionnaire-dbtg,,18259947,BLIND,5410148,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1536x864,1536x722,,Information sheet and consent ,2,173,No,BEGIN QUESTIONNAIRE,
2,1641130098196,02/01/2022 13:28:18,1641130097752,0,02/01/2022 13:28:17,62188,20,questionnaire-dbtg,,18259947,BLIND,5410148,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1536x864,1519x722,,Information sheet and consent ,2,173,No,END QUESTIONNAIRE,108715
1,1640780247507,29/12/2021 12:17:27,1640780246806,0,29/12/2021 12:17:26,62188,20,questionnaire-dbtg,,18235297,BLIND,5387392,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1536x864,1536x722,,Information sheet and consent ,2,178,No,BEGIN QUESTIONNAIRE,
2,1640780261109,29/12/2021 12:17:41,1640780260471,0,29/12/2021 12:17:40,62188,20,questionnaire-dbtg,,18235297,BLIND,5387392,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1536x864,1519x722,,Information sheet and consent ,2,178,No,END QUESTIONNAIRE,13665
1,1640711980225,28/12/2021 17:19:40,1640711980041,0,28/12/2021 17:19:40,62188,20,questionnaire-dbtg,,18229614,BLIND,5384850,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1440x727,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
2,1640712048530,28/12/2021 17:20:48,1640712048392,0,28/12/2021 17:20:48,62188,20,questionnaire-dbtg,,18229614,BLIND,5384850,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1425x727,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,68351
1,1640708587626,28/12/2021 16:23:07,1640708587455,0,28/12/2021 16:23:07,62188,20,questionnaire-dbtg,,18228852,BLIND,5384675,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1440x821,,Information sheet and consent ,2,152,No,BEGIN QUESTIONNAIRE,
2,1640708845993,28/12/2021 16:27:25,1640708845731,0,28/12/2021 16:27:25,62188,20,questionnaire-dbtg,,18228852,BLIND,5384675,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1425x821,,Information sheet and consent ,2,152,No,END QUESTIONNAIRE,258276
1,1640202931124,22/12/2021 19:55:31,1640202930114,0,22/12/2021 19:55:30,62188,20,questionnaire-dbtg,,18188602,BLIND,5372697,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1280x609,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
2,1640202984484,22/12/2021 19:56:24,1640202983516,0,22/12/2021 19:56:23,62188,20,questionnaire-dbtg,,18188602,BLIND,5372697,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,53401
1,1640198681470,22/12/2021 18:44:41,1640198680465,0,22/12/2021 18:44:40,62188,20,questionnaire-dbtg,,18187737,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1280x609,,Information sheet and consent ,2,178,No,BEGIN QUESTIONNAIRE,
2,1640198686473,22/12/2021 18:44:46,1640198685547,0,22/12/2021 18:44:45,62188,20,questionnaire-dbtg,,18187737,BLIND,5372572,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Information sheet and consent ,2,178,No,END QUESTIONNAIRE,5082
1,1640186141531,22/12/2021 15:15:41,1640186140560,0,22/12/2021 15:15:40,62188,20,questionnaire-dbtg,,18183923,BLIND,5371387,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1280x609,,Information sheet and consent ,2,183,No,BEGIN QUESTIONNAIRE,
2,1640186337411,22/12/2021 15:18:57,1640186336363,0,22/12/2021 15:18:56,62188,20,questionnaire-dbtg,,18183923,BLIND,5371387,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.62,1280x720,1263x609,,Information sheet and consent ,2,183,No,END QUESTIONNAIRE,195803
1,1639925337287,19/12/2021 14:48:57,1639925337163,0,19/12/2021 14:48:57,62188,20,questionnaire-dbtg,,18122247,BLIND,5344588,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1440x727,,Information sheet and consent ,2,173,No,BEGIN QUESTIONNAIRE,
2,1639925536720,19/12/2021 14:52:16,1639925536546,0,19/12/2021 14:52:16,62188,20,questionnaire-dbtg,,18122247,BLIND,5344588,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1425x727,,Information sheet and consent ,2,173,No,END QUESTIONNAIRE,199383
1,1639390509907,13/12/2021 10:15:09,1639390510055,0,13/12/2021 10:15:10,62188,20,questionnaire-dbtg,,17962359,BLIND,5297751,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.53,1280x720,1280x609,,Information sheet and consent ,2,183,No,BEGIN QUESTIONNAIRE,
2,1639390614606,13/12/2021 10:16:54,1639390614785,0,13/12/2021 10:16:54,62188,20,questionnaire-dbtg,,17962359,BLIND,5297751,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.53,1280x720,1263x609,,Information sheet and consent ,2,183,No,END QUESTIONNAIRE,104731
1,1642505895826,18/01/2022 11:38:15,1642505895769,0,18/01/2022 11:38:15,62188,20,questionnaire-dbtg,,18588919,BLIND,5502940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Information sheet and consent ,2,163,No,BEGIN QUESTIONNAIRE,
2,1642505913470,18/01/2022 11:38:33,1642505913405,0,18/01/2022 11:38:33,62188,20,questionnaire-dbtg,,18588919,BLIND,5502940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1263x720,,Information sheet and consent ,2,163,No,END QUESTIONNAIRE,17636
1,1640706079995,28/12/2021 15:41:19,1640706079687,0,28/12/2021 15:41:19,62188,20,questionnaire-dbtg,,18228363,BLIND,5384559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1440x727,,Information sheet and consent ,2,152,No,BEGIN QUESTIONNAIRE,
2,1640706168910,28/12/2021 15:42:48,1640706168661,0,28/12/2021 15:42:48,62188,20,questionnaire-dbtg,,18228363,BLIND,5384559,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 96.0.4664.110,1440x900,1440x727,,Information sheet and consent ,2,152,No,END QUESTIONNAIRE,88974
END OF FILE
